"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"AARTIDRUGS","Aarti Drugs Limited","7(2)","Jay Manilal Savla (Momi's Trust)","Promoter Group","Equity Shares","146218","0.63",,"3500","4516743","Sell","Equity Shares","142718","0.61","30-Jun-2020","30-Jun-2020","30-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","08-Jul-2020 20:09","https://archives.nseindia.com/corporate/xbrl/IT_1074980_276531_08072020080918_WEB.xml"
"AARTIDRUGS","Aarti Drugs Limited","7(2)","Jay Manilal Savla (Momi's Trust)","Promoter Group","Equity Shares","147218","0.63",,"1000","1257080","Sell","Equity Shares","146218","0.63","29-Jun-2020","29-Jun-2020","30-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","08-Jul-2020 20:09","https://archives.nseindia.com/corporate/xbrl/IT_1074980_276531_08072020080918_WEB.xml"
"AARTIDRUGS","Aarti Drugs Limited","7(2)","Jay Manilal Savla (Momi's Trust)","Promoter Group","Equity Shares","151218","0.65",,"4000","4980246","Sell","Equity Shares","147218","0.63","26-Jun-2020","26-Jun-2020","30-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","08-Jul-2020 20:09","https://archives.nseindia.com/corporate/xbrl/IT_1074980_276531_08072020080918_WEB.xml"
"AARTIDRUGS","Aarti Drugs Limited","7(2)","Jay Manilal Savla (Momi's Trust)","Promoter Group","Equity Shares","151218","0.65",,"4000","4980246","Sell","Equity Shares","147218","0.63","26-Jun-2020","26-Jun-2020","30-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","03-Jul-2020 12:27","https://archives.nseindia.com/corporate/xbrl/IT_1074843_273705_03072020122711_WEB.xml"
"AARTIDRUGS","Aarti Drugs Limited","7(2)","Jay Manilal Savla (Momi's Trust)","Promoter Group","Equity Shares","147218","0.63",,"3500","4516743","Sell","Equity Shares","143718","0.62","30-Jun-2020","30-Jun-2020","30-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","03-Jul-2020 12:27","https://archives.nseindia.com/corporate/xbrl/IT_1074843_273705_03072020122711_WEB.xml"
"AARTIDRUGS","Aarti Drugs Limited","7(2)","Jigna Hiren Shah","Promoter Group","Equity Shares","125790","0.54",,"3000","3867331","Sell","Equity Shares","122790","0.53","30-Jun-2020","30-Jun-2020","30-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","03-Jul-2020 12:25","https://archives.nseindia.com/corporate/xbrl/IT_1074842_273703_03072020122532_WEB.xml"
"AARTIDRUGS","Aarti Drugs Limited","7(2)","Jaya C. Gogri","Promoter Group","Equity Shares","390024","1.67",,"10000","12732881","Buy","Equity Shares","400024","1.72","30-Jun-2020","30-Jun-2020","30-Jun-2020","Market Purchase","-","-","0","0","0","0","NSE","-","02-Jul-2020 23:12","https://archives.nseindia.com/corporate/xbrl/IT_1074830_273646_02072020111214_WEB.xml"
"AARTIDRUGS","Aarti Drugs Limited","7(2)","Jaya Chandrakant Gogri","Promoter Group","Equity Shares","350524","1.5",,"19500","20762664","Buy","Equity Shares","370024","1.59","19-Jun-2020","19-Jun-2020","26-Jun-2020","Market Purchase","-","-","0","0","0","0","NSE","-","29-Jun-2020 22:56","https://archives.nseindia.com/corporate/xbrl/IT_1074523_271229_29062020105640_WEB.xml"
"AARTIDRUGS","Aarti Drugs Limited","7(2)","Jaya Chandrakant Gogri","Promoter Group","Equity Shares","380024","1.63",,"10000","12021700","Buy","Equity Shares","390024","1.67","24-Jun-2020","24-Jun-2020","26-Jun-2020","Market Purchase","-","-","0","0","0","0","NSE","-","29-Jun-2020 22:56","https://archives.nseindia.com/corporate/xbrl/IT_1074523_271229_29062020105640_WEB.xml"
"AARTIDRUGS","Aarti Drugs Limited","7(2)","Jaya Chandrakant Gogri","Promoter Group","Equity Shares","370024","1.59",,"10000","11158214","Buy","Equity Shares","380024","1.63","22-Jun-2020","22-Jun-2020","26-Jun-2020","Market Purchase","-","-","0","0","0","0","NSE","-","29-Jun-2020 22:56","https://archives.nseindia.com/corporate/xbrl/IT_1074523_271229_29062020105640_WEB.xml"
"AARTIDRUGS","Aarti Drugs Limited","7(2)","Harshit M. Savla (HUF)","Promoter Group","Equity Shares","Nil","0",,"1500","1601412","Buy","Equity Shares","1500","0","19-Jun-2020","19-Jun-2020","24-Jun-2020","Market Purchase","-","-","0","0","0","0","NSE","-","26-Jun-2020 18:40","https://archives.nseindia.com/corporate/xbrl/IT_1074352_269661_26062020064017_WEB.xml"
"AARTIDRUGS","Aarti Drugs Limited","7(2)","Jay Manilal Savla (Momi's Trust)","Promoter Group","Equity Shares","158218","0.68",,"1500","1654675","Sell","Equity Shares","156718","0.67","22-Jun-2020","22-Jun-2020","24-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","25-Jun-2020 21:47","https://archives.nseindia.com/corporate/xbrl/IT_1074281_268979_25062020094754_WEB.xml"
"AARTIDRUGS","Aarti Drugs Limited","7(2)","Jay Manilal Savla (Momi's Trust)","Promoter Group","Equity Shares","156718","0.67",,"4500","5248613","Sell","Equity Shares","152218","0.65","23-Jun-2020","23-Jun-2020","24-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","25-Jun-2020 21:47","https://archives.nseindia.com/corporate/xbrl/IT_1074281_268979_25062020094754_WEB.xml"
"AARTIDRUGS","Aarti Drugs Limited","7(2)","Jay Manilal Savla (Momi's Trust)","Promoter Group","Equity Shares","152218","0.65",,"1000","1196820","Sell","Equity Shares","151218","0.65","24-Jun-2020","24-Jun-2020","24-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","25-Jun-2020 21:47","https://archives.nseindia.com/corporate/xbrl/IT_1074281_268979_25062020094754_WEB.xml"
"AARTIDRUGS","Aarti Drugs Limited","7(2)","Dilesh Roadlines Private Limited","Promoter Group","Equity Shares","124696","0.54",,"305","343528","Buy","Equity Shares","125001","0.54","22-Jun-2020","22-Jun-2020","24-Jun-2020","Market Purchase","-","-","0","0","0","0","NSE","-","24-Jun-2020 23:53","https://archives.nseindia.com/corporate/xbrl/IT_1074189_268432_24062020115346_WEB.xml"
